2,0.0
4,0.01
6,0.02
8,0.03
12,0.04
13,0.05
15,0.06
17,0.07
20,0.08
21,0.09
22,0.1
23,0.11
24,0.12
27,0.13
29,0.14
30,0.15
31,0.16
34,0.17
42,0.18
45,0.19
46,0.2
47,0.21
50,0.22
52,0.23
53,0.24
56,0.25
57,0.26
58,0.27
59,0.28
64,0.29
65,0.3
66,0.31
67,0.32
68,0.33
69,0.34
70,0.35
71,0.36
75,0.37
78,0.38
80,0.39
81,0.4
83,0.41
85,0.42
87,0.43
91,0.44
92,0.45
96,0.46
97,0.47
98,0.48
100,0.49
101,0.5
105,0.51
108,0.52
110,0.53
112,0.54
114,0.55
115,0.56
116,0.57
117,0.58
120,0.59
122,0.6
123,0.61
125,0.62
126,0.63
131,0.64
133,0.65
135,0.66
136,0.67
141,0.68
142,0.69
148,0.7
150,0.71
151,0.72
152,0.73
153,0.74
156,0.75
157,0.76
160,0.77
161,0.78
162,0.79
163,0.8
164,0.81
167,0.82
169,0.83
171,0.84
172,0.85
175,0.86
177,0.87
179,0.88
181,0.89
183,0.9
184,0.91
186,0.92
189,0.93
191,0.94
192,0.95
200,0.96
201,0.97
205,0.98
207,0.99
209,1.0
212,1.01
213,1.02
214,1.03
216,1.04
217,1.05
218,1.06
219,1.07
220,1.08
221,1.09
225,1.1
226,1.11
227,1.12
229,1.13
230,1.14
235,1.15
238,1.16
239,1.17
240,1.18
242,1.19
244,1.2
245,1.21
246,1.22
247,1.23
248,1.24
251,1.25
252,1.26
253,1.27
254,1.28
255,1.29
256,1.3
260,1.31
261,1.32
262,1.33
264,1.34
268,1.35
273,1.36
275,1.37
276,1.38
278,1.39
279,1.4
280,1.41
284,1.42
285,1.43
286,1.44
288,1.45
290,1.46
293,1.47
294,1.48
295,1.49
296,1.5
298,1.51
300,1.52
303,1.53
304,1.54
305,1.55
306,1.56
309,1.57
314,1.58
315,1.59
321,1.6
323,1.61
325,1.62
326,1.63
327,1.64
329,1.65
330,1.66
331,1.67
335,1.68
338,1.69
339,1.7
340,1.71
341,1.72
344,1.73
345,1.74
346,1.75
349,1.76
350,1.77
363,1.78
364,1.79
368,1.8
369,1.81
370,1.82
371,1.83
372,1.84
374,1.85
375,1.86
379,1.87
381,1.88
384,1.89
386,1.9
392,1.91
393,1.92
394,1.93
396,1.94
398,1.95
400,1.96
401,1.97
402,1.98
404,1.99
405,2.0
407,2.01
409,2.02
410,2.03
411,2.04
412,2.05
414,2.06
415,2.07
418,2.08
421,2.09
423,2.1
426,2.11
428,2.12
431,2.13
434,2.14
435,2.15
436,2.16
438,2.17
439,2.18
441,2.19
442,2.2
443,2.21
444,2.22
449,2.23
453,2.24
455,2.25
456,2.26
459,2.27
464,2.28
467,2.29
468,2.3
471,2.31
474,2.32
475,2.33
476,2.34
478,2.35
479,2.36
481,2.37
482,2.38
483,2.39
485,2.4
490,2.41
493,2.42
494,2.43
495,2.44
496,2.45
498,2.46
499,2.47
501,2.48
504,2.49
506,2.5
508,2.51
509,2.52
510,2.53
512,2.54
513,2.55
515,2.56
516,2.57
517,2.58
518,2.59
519,2.6
521,2.61
524,2.62
531,2.63
532,2.64
533,2.65
537,2.66
539,2.67
542,2.68
546,2.69
548,2.7
551,2.71
552,2.72
556,2.73
560,2.74
561,2.75
563,2.76
569,2.77
570,2.78
572,2.79
574,2.8
578,2.81
579,2.82
581,2.83
582,2.84
584,2.85
585,2.86
587,2.87
589,2.88
590,2.89
592,2.9
593,2.91
594,2.92
599,2.93
600,2.94
603,2.95
607,2.96
608,2.97
611,2.98
615,2.99
616,3.0
618,3.01
619,3.02
621,3.03
623,3.04
625,3.05
626,3.06
630,3.07
633,3.08
637,3.09
646,3.1
649,3.11
650,3.12
653,3.13
655,3.14
656,3.15
657,3.16
662,3.17
663,3.18
664,3.19
666,3.2
668,3.21
669,3.22
670,3.23
671,3.24
672,3.25
674,3.26
679,3.27
686,3.28
687,3.29
688,3.3
689,3.31
691,3.32
693,3.33
694,3.34
695,3.35
697,3.36
699,3.37
700,3.38
701,3.39
703,3.4
704,3.41
707,3.42
708,3.43
713,3.44
714,3.45
717,3.46
718,3.47
719,3.48
720,3.49
723,3.5
724,3.51
725,3.52
731,3.53
733,3.54
734,3.55
736,3.56
738,3.57
746,3.58
747,3.59
750,3.6
